"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","FED_STATE_CODE","START_DATE","START_DATE_QUALIFIER","END_DATE","END_DATE_QUALIFIER","SOURCE_OF_DATA","LAST_REPORTED_DATE","CREATE_DATE","UPDATE_DATE","ACTIVE_STATUS"
"110000486509","TRIS","97005RSCNT1270N","TRI REPORTER","","","","","","TRIS","","17-JUN-00","31-DEC-15","ACTIVE"
"110000486509","RCRAINFO","ORSTATE08750","UNSPECIFIED UNIVERSE","FEDERAL","19-JAN-11","EARLIEST RCRAINFO DATE","","","RCRAINFO","","03-MAY-12","24-JUN-14","N"
"110000486509","RCRAINFO","ORD981773377","UNSPECIFIED UNIVERSE","FEDERAL","29-MAR-90","FIRST ANNUAL/BIENNIAL REPORT DATE","","","RCRAINFO","","26-NOV-07","31-JAN-12","N"
"110000486527","OR-DEQ","39913","STATE MASTER","STATE","","","","","OR-DEQ","","22-APR-03","13-JAN-09",""
"110000486527","EIS","3759111","AIR MINOR","FEDERAL","","","","","EIS","03-APR-26","20-JAN-21","","OPERATING"
"110000486527","TSCA","100606519","TSCA SUBMITTER","FEDERAL","","","","","TSCA","13-AUG-12","07-FEB-14","",""
"110000486527","E-GGRT","1009606","GREENHOUSE GAS REPORTER","FEDERAL","28-JUN-13","FIRST REGISTRATION DATE","","","E-GGRT","","25-AUG-25","",""
"110000486527","NPDES","ORR110150","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","","05-AUG-22","","EFFECTIVE"
"110000486527","TRIS","97007NTLCR3585S","TRI REPORTER","","","","","","TRIS","17-MAR-25","30-AUG-13","15-JUN-16","ACTIVE"
"110000486527","TSCA","TSCA6169","TSCA SUBMITTER","","","","","","TSCA","21-OCT-22","31-AUG-14","",""
"110000486527","TSCA","TSCA10039190","TSCA SUBMITTER","","","","","","API","31-MAR-19","31-MAR-19","",""
"110000486527","NPDES","ORR110150","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","","07-OCT-16","","EFFECTIVE"
"110000486527","RCRAINFO","ORQ000004283","VSQG","FEDERAL","24-SEP-96","FIRST NOTIFICATION DATE","","","RCRAINFO","","04-AUG-22","","Y"
"110000486527","BR","ORD060591963","HAZARDOUS WASTE BIENNIAL REPORTER","FEDERAL","","","01-JAN-22","YEAR REPORTING STOPPED","RCRAINFO","31-DEC-21","07-MAY-20","23-MAY-23","N"
"110000486527","RCRAINFO","ORD060591963","LQG","FEDERAL","31-MAR-90","FIRST ANNUAL/BIENNIAL REPORT DATE","","","RCRAINFO","","18-MAY-01","22-JUN-16","Y"
"110000486527","NPDES","OR0030929","ICIS-NPDES NON-MAJOR","FEDERAL","28-NOV-80","ORIGINAL PERMIT ISSUE DATE","10-FEB-20","PERMIT TERMINATION DATE","ICIS","23-NOV-15","06-FEB-13","09-AUG-16","TERMINATED"
"110000486527","AIR","OR0000004106702681","AIR MAJOR","FEDERAL","20-OCT-14","OPR","","","ICIS","29-JUL-24","11-MAY-26","",""
"110000486527","OR-DEQ","635","STATE MASTER","STATE","","","","","OR-DEQ","","10-APR-03","13-JAN-09",""
"110000486527","AIRS/AFS","4106702681","AIR MINOR","FEDERAL","","","","","AIRS/AFS","23-MAY-13","16-JAN-08","30-APR-14","PERMANENTLY CLOSED"
"110000486536","OSHA-OIS","340639137","OSHA ESTABLISHMENT","FEDERAL","","","","","OSHA-OIS","12-SEP-18","28-SEP-18","",""
"110000486536","TRIS","97009SHWSF19402","TRI REPORTER","","","","","","TRIS","24-MAY-22","30-AUG-13","28-JUN-16","ACTIVE"
"110000486536","RCRAINFO","ORQ000006338","SQG","FEDERAL","05-JUN-97","FIRST NOTIFICATION DATE","","","RCRAINFO","","18-MAY-01","30-MAR-16","Y"
"110000486536","AIR","OR0000004100500017","AIR MAJOR","FEDERAL","11-MAR-16","OPR","","","ICIS","01-OCT-15","09-NOV-14","07-OCT-16","OPERATING"
"110000486536","EIS","7393511","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","FEDERAL","","","","","EIS","28-JAN-26","20-JAN-21","","OPERATING"
"110000486536","AIRS/AFS","4100500017","AIR MAJOR","FEDERAL","","","","","AIRS/AFS","13-FEB-14","13-NOV-00","30-APR-14","OPERATING"
"110000486536","OR-DEQ","10177","STATE MASTER","STATE","","","","","OR-DEQ","","10-APR-03","13-JAN-09",""
"110000486545","NCDB","I10#199107172778  1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","24-APR-02","06-AUG-02",""
"110000486545","TRIS","97013BCNRT1076S","TRI REPORTER","","","","","","TRIS","","17-JUN-00","31-DEC-15","ACTIVE"
"110000486545","NCDB","I10#20001107AX002 1","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","07-MAR-03","07-MAR-03","",""
"110000486545","RCRAINFO","ORD987191517","UNSPECIFIED UNIVERSE","FEDERAL","08-NOV-02","EARLIEST RCRAINFO DATE","","","RCRAINFO","","26-NOV-07","31-JAN-12","N"
"110000486563","EIS","7393411","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","FEDERAL","","","","","EIS","26-AUG-21","20-JAN-21","","PERMANENTLY SHUTDOWN"
"110000486563","RCRAINFO","ORD009044793","UNSPECIFIED UNIVERSE","FEDERAL","08-FEB-93","FIRST NOTIFICATION DATE","","","RCRAINFO","","04-AUG-22","","N"
"110000486563","OSHA-OIS","342022365","OSHA ESTABLISHMENT","FEDERAL","","","","","OSHA-OIS","12-SEP-18","28-SEP-18","",""
"110000486563","OR-DEQ","1152","STATE MASTER","STATE","","","","","OR-DEQ","","10-APR-03","13-JAN-09",""
"110000486563","AIR","OR0000004100500003","AIR MAJOR","FEDERAL","17-NOV-20","CLS","","","ICIS","01-OCT-15","09-NOV-14","07-OCT-16","PERMANENTLY CLOSED"
"110000486563","TRIS","97013SRSMT1017S","TRI REPORTER","","","","","","TRIS","26-MAY-23","30-AUG-13","04-MAR-19","ACTIVE"
"110000486563","NPDES","ORR237024","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","","05-AUG-22","","EFFECTIVE"
"110000486563","OSHA-OIS","343392015","OSHA ESTABLISHMENT","FEDERAL","","","","","OSHA-OIS","12-SEP-18","28-SEP-18","",""
"110000486563","AIRS/AFS","4100500003","AIR MAJOR","FEDERAL","","","","","AIRS/AFS","12-MAR-14","13-NOV-00","30-APR-14","OPERATING"
"110000486563","NPDES","ORR237024","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","","07-OCT-16","","EFFECTIVE"
"110000486572","RCRAINFO","ORD010732428","UNSPECIFIED UNIVERSE","FEDERAL","07-FEB-92","FIRST NOTIFICATION DATE","","","RCRAINFO","","20-JUL-11","24-JUN-14","N"
"110000486572","NPDES","ORRZ00100","STORM WATER INDUSTRIAL","FEDERAL","","","","","ICIS","","14-DEC-25","","EFFECTIVE"
"110000486572","NPDES","ORRZ00100","ICIS-NPDES NON-MAJOR","FEDERAL","","","","","ICIS","","12-AUG-25","","EFFECTIVE"
"110000486572","NCDB","D10#10-94-241-EPCRA","COMPLIANCE ACTIVITY","FEDERAL","","","","","NCDB","","23-APR-02","23-APR-02",""
"110000486572","OR-DEQ","974","STATE MASTER","STATE","","","","","OR-DEQ","","10-APR-03","13-JAN-09",""
